Index,URL,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
1,https://open.spotify.com/track/7lJtRbSmuXwzoeFbtrYHzr,Omah Lay,Can't Relate,2020-11-20,0.642,0.479,3,-8.027,0,0.276,0.295,2.89e-05,0.143,0.398,101.825,183641,4
2,https://open.spotify.com/track/3ewnXMFcLUCoYkWvxsUA5K,Cashh,Wag1 (feat. WSTRN),2020-07-22,0.781,0.678,1,-4.361,0,0.145,0.273,0,0.173,0.704,105.048,203429,4
3,https://open.spotify.com/track/5v7Xw46buqlICC6vsJgsLw,Jujuboy Star,I Dey There,2020-11-20,0.878,0.77,0,-4.206,1,0.121,0.0519,0.00303,0.116,0.801,104.999,188732,4
4,https://open.spotify.com/track/0LaWpOpruJVwVBhe4oJloZ,KDDO,eWallet (feat. Cassper Nyovest),2020-05-29,0.808,0.558,3,-9.203,0,0.047,0.113,2.32e-06,0.111,0.76,115.036,173223,4
5,https://open.spotify.com/track/0NqqHYr6gzAOwBZfh40wn2,Yemi Alade,Temptation,2020-11-20,0.781,0.744,9,-5.539,0,0.214,0.121,0,0.357,0.694,107.1,206438,4
6,https://open.spotify.com/track/0b4OhI29MieZpxusw0HGEJ,DaVido,The Best (feat. Mayorkun),2020-11-12,0.793,0.858,3,-5.2,1,0.0466,0.252,0.000331,0.353,0.637,115.975,171724,4
7,https://open.spotify.com/track/0Eq1YipYrFdRzPKT8y7iOC,Lil Kesh,Love Like This (feat. Fireboy DML),2020-11-19,0.801,0.75,8,-3.991,1,0.0816,0.0898,9.56e-05,0.0801,0.393,101.97,193067,4
8,https://open.spotify.com/track/1V9weUxTGcNlzsBbJbh0W1,Keke Palmer,Want Me to Be,2020-11-20,0.75,0.646,0,-5.692,0,0.0664,0.705,0,0.145,0.446,92.926,189677,4
9,https://open.spotify.com/track/7iZVBT6LV32t4l00p73VAw,Aya Nakamura,Plus Jamais (feat. Stormzy),2020-11-13,0.605,0.419,1,-9.032,1,0.0342,0.373,0,0.128,0.291,152.161,175257,4
10,https://open.spotify.com/track/6RZ1UA7KZqoEJe8kkd1g5i,Manu WorldStar,Choko (Part 2) (feat. ANATII),2020-09-04,0.731,0.631,11,-8.197,0,0.264,0.0291,0,0.0871,0.284,100.025,218370,4
11,https://open.spotify.com/track/0vIhdRlCdxfwER3CxEuHxn,Kelvyn Boy,Best Friend,2020-11-06,0.575,0.747,1,-6.101,0,0.136,0.141,3.39e-06,0.396,0.795,99.576,198193,4
12,https://open.spotify.com/track/44E17AubfoMCwJOQduEx3C,DarkoVibes,Inna Song (Gin & Lime),2020-04-03,0.719,0.551,7,-8.158,1,0.0708,0.37,0,0.0856,0.559,101.913,245735,4
