Index,URL,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
1,https://open.spotify.com/track/43ile6cBzr9uaC4bJf6J3N,Fela Kuti,Water No Get Enemy - Edit,2009-10-27,0.641,0.924,10,-7.697,0,0.0578,0.107,0.0269,0.0982,0.891,90.858,591707,4
2,https://open.spotify.com/track/6g6HkKmfDebeUMH9oSIlhW,The Budos Band,The Volcano Song,2005,0.693,0.959,4,-6.183,0,0.0998,0.134,0.871,0.121,0.971,114.25,170760,4
3,https://open.spotify.com/track/4P088E0nuVE5NTaNIlspRH,Iconili,Jorge Botafogo,2016-08-26,0.424,0.803,11,-7.031,0,0.0593,0.000786,0.759,0.106,0.483,121.91,281120,4
4,https://open.spotify.com/track/1vwPVpvlspzanOmd1Lbo8n,Abayomy Afrobeat Orquestra,Malunguinho,2013-06-24,0.715,0.892,1,-4.875,1,0.118,0.368,0.0222,0.322,0.968,96.937,457053,4
5,https://open.spotify.com/track/7r6PFG9FX6LrpPI1IcfpbI,Adekunle Gold,Mr. Foolish (feat. Seun Kuti),2018-05-25,0.78,0.923,9,-5.191,0,0.0595,0.296,0,0.0588,0.952,99.029,242424,4
6,https://open.spotify.com/track/1pOijkup74g38GYZ9iSlyZ,Menahan Street Band,Montego Sunset,2008-10-14,0.757,0.724,0,-7.639,1,0.0539,0.00826,0.935,0.335,0.63,94.749,198787,4
7,https://open.spotify.com/track/11GDQVqIEKAB4QKOcIVOvG,Fela Kuti,Zombie,1977-01-01,0.712,0.942,2,-5.115,0,0.165,0.388,0.0146,0.302,0.585,131.812,745653,4
8,https://open.spotify.com/track/3tByzh69xblgCQMxbCE2ZM,Femi Kuti,Africa Will Be Great Again,2018-02-23,0.756,0.811,0,-6.628,1,0.133,0.252,6.92e-05,0.111,0.562,99.996,287013,4
9,https://open.spotify.com/track/3kp6IvmEaFGQZE1uvtK8n4,Balún,Pulsos (feat. Antibalas Horns),2018-07-20,0.637,0.645,11,-13.056,0,0.0373,0.00262,0.768,0.164,0.335,109.983,268325,4
10,https://open.spotify.com/track/0NKgWh7y8wHhlbYE2NvJAN,Son Palenque,Cumbia Africana,2014-03-03,0.715,0.731,3,-8.625,0,0.0393,0.326,0.0161,0.331,0.781,120.989,206413,4
11,https://open.spotify.com/track/7dUUAu2h1rHRLENswfBRfh,Femi Kuti,Blackman Know Yourself,2000-01-01,0.753,0.914,10,-7.048,0,0.0771,0.0325,2.69e-05,0.128,0.943,104.903,319160,4
12,https://open.spotify.com/track/3V8CrlzIgBL2YLR7BVLPTn,The Budos Band,Budos Theme,2005,0.435,0.873,5,-6.003,0,0.077,0.0294,0.777,0.108,0.963,119.343,189040,4
13,https://open.spotify.com/track/0kxFVCOcAV3Rwwes2f1SSd,Menahan Street Band,The Traitor,2008-10-14,0.628,0.585,3,-8.036,0,0.0421,0.147,0.927,0.0465,0.618,100.95,162267,4
14,https://open.spotify.com/track/4Syt5mkKGdgerYPEF619nR,IFÁ Afrobeat,Afrofunk Revolution,2015-08-19,0.68,0.736,5,-9.687,1,0.0369,0.0256,0.113,0.219,0.934,111.98,312111,4
15,https://open.spotify.com/track/2g72QoX5ZZlEqQpKfnOdrj,Fela Kuti,Expensive Shit,2013,0.614,0.876,7,-7.697,0,0.106,0.212,0.359,0.0843,0.682,122.635,793200,4
16,https://open.spotify.com/track/0Q8nj1pDDC23xvz6H3reHR,Bixiga 70,Grito de Paz,2011-12-02,0.458,0.729,2,-8.287,0,0.0435,0.392,0.888,0.0829,0.673,115.878,266200,4
17,https://open.spotify.com/track/4WYTHHlht6Dd9v9fG497u9,La Cumbia Chicharra,La Weá,2018-05-25,0.688,0.784,5,-11.118,0,0.0551,0.00109,0.571,0.122,0.737,117.914,356693,4
18,https://open.spotify.com/track/6K4mkIv9jq5khtrDLXRhI4,Fanga,Crache La Douleur,2012,0.603,0.9,8,-5.163,0,0.0475,0.457,0.165,0.257,0.787,134.617,305107,4
19,https://open.spotify.com/track/1pD52RIAJeW8pd75WRBSSx,Chicago Afrobeat Project,Talking Bush,2007-06-19,0.533,0.933,4,-5.125,0,0.088,0.00719,0.00182,0.276,0.637,143.084,366440,4
20,https://open.spotify.com/track/7ErGzwdIsKOdIWZ77VDGox,Karl Hector & The Malcouns,Kaifa Part 1 & 2,2014-06-17,0.644,0.777,11,-7.223,1,0.0358,0.0205,0.859,0.245,0.774,96.198,367827,4
21,https://open.spotify.com/track/3aP419cmsEU91W7gRY6Bci,Afrodizz,Propaganda,2004-10-04,0.69,0.678,9,-14.054,0,0.0564,0.0315,0.0343,0.14,0.702,151.882,520412,4
22,https://open.spotify.com/track/6fsLjItlUmbpl16SGi2COD,Fela Kuti,Lady,2009-10-27,0.74,0.871,10,-7.871,0,0.0507,0.207,0.000126,0.0917,0.541,106.698,828360,4
